nilai_sisdig,nilai_daspro,nilai_alpro,nilai_matdis,nilai_arkom,nilai_basdat,nilai_metnum,nilai_strukdat,nilai_sbd,nilai_so,nilai_jarkom,nilai_ki,nilai_rpl,nilai_si,nilai_pb,status_kelulusan
"B+","D","B+","B+","B-","B+","B","A","A-","A-","B","C","A","B+","A-","TERLAMBAT"
"E","C","C","D","B-","B-","B","A-","A-","B-","B","A-","A-","B-","A","TERLAMBAT"
"C","C+","C","B","C+","C","E","B-","B","B-","B","B-","B","C+","A","TERLAMBAT"
"C","E","B-","B","C+","B","C","B+","B+","B-","C+","C","D","D","A","TERLAMBAT"
"C","C","D","D","C+","B","B-","B","B+","B+","B","B","B-","C","A-","TERLAMBAT"
"E","C+","D","C+","C+","C","D","C+","B+","B","C","B","C+","C+","A","TERLAMBAT"
"C+","D","D","B","B-","C+","B","A-","B","B+","C+","B","D","B+","A","TERLAMBAT"
"E","C","B+","B-","C","B-","C","C+","B+","D","B+","B","B+","C","A","TERLAMBAT"
"E","C+","B","B","C","B-","D","C","C+","D","B-","A-","C","D","A","TERLAMBAT"
"B-","C+","A","B-","B-","C+","E","B-","C","B","A-","B+","B","B+","A-","TERLAMBAT"
"A","C","B+","B","B","C","E","C","E","B-","B+","B","C+","B-","A-","TERLAMBAT"
"D","B-","B-","B-","C","B-","C+","B-","B+","D","C+","B","B-","D","B+","TERLAMBAT"
"E","B","C","C","B+","D","D","C","C+","C","C","B","C+","B-","B+","TERLAMBAT"
"C","B","C+","B","C+","C+","D","C+","B-","D","C+","B+","C","D","A-","TERLAMBAT"
"D","B+","B+","C+","D","D","B-","D","C","C+","B","B+","D","B-","B+","TERLAMBAT"
"B-","C","B+","C","B-","C","C","C+","D","B","A","A-","D","B+","A","SEDANG"
"D","B-","B+","B","E","D","D","C","E","C+","B+","A-","D","B","B-","TERLAMBAT"
"A","C+","A-","B","A","B+","C+","D","C","B","A-","B-","B","B-","A","TERLAMBAT"
"B","C","A","C+","D","D","C","B-","C","D","B","B-","D","B-","A-","TERLAMBAT"
"C","D","A-","C","C","C+","E","C","D","C+","A-","B+","C","B","A-","TERLAMBAT"
"C+","A-","B+","C+","B-","B-","E","C+","B-","D","C","A-","E","B-","A-","TERLAMBAT"
"C","A","B+","B","C+","A-","C+","B-","A-","C+","B+","C+","A-","C+","A-","TERLAMBAT"
"A-","C+","C","B-","A-","D","E","D","E","C","A-","A-","E","B+","E","TERLAMBAT"
"D","B+","B+","A-","C+","B-","C","C+","C","D","B-","B-","C+","D","A-","TERLAMBAT"
"C","B-","B-","B+","C","A-","C","B","B-","D","B-","B-","A-","C","A","TERLAMBAT"
"B-","B","B+","B+","D","C+","D","C+","E","B+","A","B-","C","B+","A","TERLAMBAT"
"D","B","B+","B-","E","B+","D","B-","D","A-","A","C+","C+","B-","A","SEDANG"
"C","B+","C","C","C+","D","E","D","E","C+","A-","C+","C","C+","A","TERLAMBAT"
"B-","B-","B","C+","C+","B-","C+","D","C+","B-","A-","B","C","A","A","TERLAMBAT"
"C","C+","B+","B+","C+","B","C+","C","C+","C+","B","B","B+","B","A","SEDANG"
"D","C","B-","B-","C","B-","E","C","C+","D","C","B-","C","C","A-","TERLAMBAT"
"E","C+","B+","A-","C","B","C","C+","B+","D","B-","B","B-","B-","B+","TERLAMBAT"
"A-","B","B+","B","D","C","C","C","C","B+","A","B-","B-","B-","B+","TERLAMBAT"
"D","B-","C","A-","C","B-","C","C+","B-","D","E","A","C+","D","A-","TERLAMBAT"
"E","C","C+","B","B","C","C","B-","B","B-","C","B-","C","B-","A-","TERLAMBAT"
"E","B+","B-","B-","B-","B-","E","B-","B+","D","E","B-","A-","C","A-","TERLAMBAT"
